k,auc,continent
3,0.8561550332383665,AMR
8,0.9263488247863249,AMR
13,0.9625919990503323,AMR
18,0.9738099477682811,AMR
23,0.9797453703703705,AMR
28,0.9840485517568851,AMR
33,0.9852949905033238,AMR
38,0.9880104463437798,AMR
43,0.9903104226020892,AMR
48,0.9941684472934473,AMR
53,0.9944207027540362,AMR
58,0.995281339031339,AMR
63,0.996542616334283,AMR
68,0.9953406932573599,AMR
73,0.996616809116809,AMR
78,0.9968542260208927,AMR
83,0.9965871320037987,AMR
88,0.9967503561253561,AMR
93,0.997076804368471,AMR
98,0.9969432573599241,AMR
103,0.9968245489078822,AMR
108,0.9977593779677114,AMR
113,0.9969580959164293,AMR
118,0.9964684235517569,AMR
123,0.9977297008547009,AMR
128,0.9982490503323838,AMR
133,0.9965871320037987,AMR
138,0.9975813152896486,AMR
143,0.9975071225071225,AMR
148,0.9971361585944919,AMR
153,0.9973735754985755,AMR
158,0.9974626068376068,AMR
163,0.9973735754985755,AMR
168,0.99767034662868,AMR
173,0.9972993827160495,AMR
178,0.9981748575498575,AMR
183,0.9985606600189934,AMR
188,0.9982638888888888,AMR
193,0.9983529202279202,AMR
198,0.9986942070275403,AMR
