k,auc,group
3,0.7570893525949705,Han
8,0.7910647405029426,Han
13,0.8715890850722311,Han
18,0.895844480114143,Han
23,0.9083288746210094,Han
28,0.8915641162832174,Han
33,0.8994114499732477,Han
38,0.915641162832174,Han
43,0.9209916176208311,Han
48,0.9202782236490101,Han
53,0.9274121633672195,Han
58,0.936864633493847,Han
63,0.9439985732120564,Han
68,0.942215088282504,Han
73,0.9470304975922953,Han
78,0.9495273764936687,Han
83,0.9504191189584448,Han
88,0.9486356340288924,Han
93,0.9516675584091314,Han
98,0.9520242553950419,Han
103,0.9611200285357588,Han
108,0.9655787408596397,Han
113,0.9662921348314606,Han
118,0.9634385589441768,Han
123,0.965757089352595,Han
128,0.9652220438737293,Han
133,0.9696807561976102,Han
138,0.9707508471553414,Han
143,0.9668271803103264,Han
148,0.9666488318173712,Han
153,0.970394150169431,Han
158,0.968075619761013,Han
163,0.9750312109862671,Han
168,0.9714642411271625,Han
173,0.964330301408953,Han
178,0.9716425896201176,Han
183,0.9654003923666845,Han
188,0.9712858926342072,Han
193,0.9753879079721777,Han
198,0.9728910290708044,Han
